0, 0.1, -0.5, 0, 
0.005, 0.0963144, -0.968377, 0, 
0.01, 0.0903918, -1.39169, 0, 
0.015, 0.0824999, -1.75389, 0, 
0.02, 0.0729722, -2.04482, 0, 
0.025, 0.0621782, -2.26011, 0, 
0.03, 0.0504967, -2.40023, 0, 
0.035, 0.0382947, -2.46923, 0, 
0.04, 0.0259126, -2.47339, 0, 
0.045, 0.0136565, -2.42011, 0, 
0.05, 0.00179443, -2.31706, 0, 
0.055, -0.00944357, -2.17167, 0, 
0.06, -0.0198632, -1.99079, 0, 
0.065, -0.0293027, -1.78059, 0, 
0.07, -0.0376293, -1.54652, 0, 
0.075, -0.0447361, -1.29336, 0, 
0.08, -0.0505382, -1.02534, 0, 
0.085, -0.0549709, -0.746199, 0, 
0.09, -0.0579873, -0.459315, 0, 
0.095, -0.0595564, -0.167807, 0, 
0.1, -0.0596626, 0.125235, 0, 
0.105, -0.0583122, 0.41316, 0, 
0.11, -0.0555575, 0.685239, 0, 
0.115, -0.0515026, 0.931738, 0, 
0.12, -0.046296, 1.14482, 0, 
0.125, -0.0401197, 1.3189, 0, 
0.13, -0.0331777, 1.4507, 0, 
0.135, -0.0256852, 1.53909, 0, 
0.14, -0.0178583, 1.58471, 0, 
0.145, -0.00990617, 1.58957, 0, 
0.15, -0.00202557, 1.55666, 0, 
0.155, 0.00560339, 1.48954, 0, 
0.16, 0.0128192, 1.39207, 0, 
0.165, 0.0194801, 1.26821, 0, 
0.17, 0.0254638, 1.12184, 0, 
0.175, 0.0306672, 0.956706, 0, 
0.18, 0.0350055, 0.776388, 0, 
0.185, 0.0384114, 0.584265, 0, 
0.19, 0.0408339, 0.383554, 0, 
0.195, 0.0422378, 0.177342, 0, 
0.2, 0.0426031, -0.0313717, 0, 
0.205, 0.0419263, -0.238556, 0, 
0.21, 0.0402313, -0.437498, 0, 
0.215, 0.0375762, -0.621576, 0, 
0.22, 0.03405, -0.785083, 0, 
0.225, 0.0297673, -0.923496, 0, 
0.23, 0.0248623, -1.03362, 0, 
0.235, 0.0194816, -1.11357, 0, 
0.24, 0.0137781, -1.1627, 0, 
0.245, 0.00790536, -1.18143, 0, 
0.25, 0.00201252, -1.171, 0, 
0.255, -0.00375919, -1.13333, 0, 
0.26, -0.0092792, -1.07075, 0, 
0.265, -0.0144295, -0.985887, 0, 
0.27, -0.0191056, -0.881541, 0, 
0.275, -0.0232171, -0.760562, 0, 
0.28, -0.0266882, -0.625809, 0, 
0.285, -0.029457, -0.480106, 0, 
0.29, -0.0314756, -0.326231, 0, 
0.295, -0.0327102, -0.166913, 0, 
0.3, -0.0331402, -0.00484544, 0, 
0.305, -0.032759, 0.156903, 0, 
0.31, -0.0315796, 0.313571, 0, 
0.315, -0.0296401, 0.460205, 0, 
