0, -0.1, 0, 0, -0.1, 0, 0, -0.1, 0, 0, 
0.0005, -0.1, 0.04905, -9e-06, -0.1, 0.024525, -8e-07, -0.1, 0.0981, -4.75e-09, 
0.001, -0.0999755, 0.0981347, -1.79991e-05, -0.0999877, 0.0490505, -1.59999e-06, -0.099951, 0.196195, -9.5e-09, 
0.0015, -0.0999264, 0.147241, -2.69948e-05, -0.0999632, 0.0735734, -2.39985e-06, -0.0998529, 0.294228, -1.42475e-08, 
0.002, -0.0998528, 0.196356, -3.59848e-05, -0.0999264, 0.0980904, -3.19946e-06, -0.0997057, 0.392141, -1.89902e-08, 
0.0025, -0.0997546, 0.245465, -4.49665e-05, -0.0998774, 0.122599, -3.99869e-06, -0.0995097, 0.489875, -2.37255e-08, 
0.003, -0.0996319, 0.294556, -5.39374e-05, -0.0998161, 0.147095, -4.79743e-06, -0.0992647, 0.587375, -2.8451e-08, 
0.0035, -0.0994846, 0.343616, -6.28952e-05, -0.0997425, 0.171575, -5.59554e-06, -0.098971, 0.684582, -3.31642e-08, 
0.004, -0.0993128, 0.39263, -7.18374e-05, -0.0996567, 0.196038, -6.39291e-06, -0.0986288, 0.781438, -3.78627e-08, 
0.0045, -0.0991165, 0.441586, -8.07615e-05, -0.0995587, 0.220478, -7.18941e-06, -0.098238, 0.877889, -4.25442e-08, 
0.005, -0.0988957, 0.490469, -8.96651e-05, -0.0994485, 0.244894, -7.98493e-06, -0.0977991, 0.973875, -4.72061e-08, 
0.0055, -0.0986504, 0.539267, -9.85457e-05, -0.099326, 0.269282, -8.77933e-06, -0.0973122, 1.06934, -5.1846e-08, 
0.006, -0.0983808, 0.587965, -0.000107401, -0.0991914, 0.293639, -9.57251e-06, -0.0967775, 1.16424, -5.64616e-08, 
0.0065, -0.0980868, 0.636551, -0.000116228, -0.0990446, 0.317962, -1.03643e-05, -0.0961954, 1.2585, -6.10505e-08, 
0.007, -0.0977686, 0.685011, -0.000125025, -0.0988856, 0.342248, -1.11547e-05, -0.0955661, 1.35207, -6.56103e-08, 
0.0075, -0.0974261, 0.73333, -0.00013379, -0.0987145, 0.366493, -1.19434e-05, -0.0948901, 1.44491, -7.01386e-08, 
